strategies,total_duration(s),starting_instances,new_instances_launched_time,new_instances_launched,total_instances,total_cost(dollar)
S8,10950.55,8,x,x,x,40.96
S8,10944.61,8,x,x,x,40.94
S8,10889.74,8,x,x,x,40.73
S16,5466.21,16,x,x,x,40.89
S16,5474.91,16,x,x,x,40.96
S16,5519.8,16,x,x,x,41.29
S32,2745.27,32,x,x,x,41.07
S32,2759.9,32,x,x,x,41.29
S32,2741.6,32,x,x,x,41.02
S64,1413.57,64,x,x,x,42.3
S64,1379.95,64,x,x,x,41.29
S64,1405.6,64,x,x,x,42.06
F,10839.18,8,50.1,2,10,50.63
F,10930.5,8,50.8,2,10,51.06
F,10891.5,8,50.3,2,10,50.87
W,2059.07,8,30.4,40,48,45.65
W,2030.6,8,30.4,40,48,45.01
W,2045.3,8,30.4,40,48,45.34