components,time(s)
create_vpc,214.104
create_vpc,184.23
create_vpc,214.174
create_vpc,213.443
create_vpc,183.064
create_vpc,221.73
create_vpc,183.802
create_vpc,214.122
create_vpc,214.512
create_vpc,190.603
create_vpc,183.021
create_vpc,183.012
create_vpc,213.36
create_vpc,182.976
create_vpc,183.009
create_worker_stack,183.961
create_worker_stack,183.577
create_worker_stack,184.235
create_worker_stack,183.283
create_worker_stack,183.203
create_worker_stack,183.618
create_worker_stack,183.834
create_worker_stack,183.795
create_worker_stack,186.25
create_worker_stack,189.921
create_worker_stack,183.017
create_worker_stack,182.943
create_worker_stack,182.916
create_worker_stack,183.026
create_worker_stack,182.928
create_cluster,605.905
create_cluster,545.731
create_cluster,605.839
create_cluster,544.521
create_cluster,454.022
create_cluster,549.16
create_cluster,545.864
create_cluster,455.025
create_cluster,520.98
create_cluster,458.318
create_cluster,544.636
create_cluster,514.364
create_cluster,514.481
create_cluster,514.375
create_cluster,514.26
create_cluster_overall,1011.614
create_cluster_overall,921.039
create_cluster_overall,1012.293
create_cluster_overall,949.711
create_cluster_overall,827.576
create_cluster_overall,963.392
create_cluster_overall,921.057
create_cluster_overall,860.583
create_cluster_overall,935.261
create_cluster_overall,847.868
create_cluster_overall,918.361
create_cluster_overall,906.649
create_cluster_overall,917.913
create_cluster_overall,887.513
create_cluster_overall,887.661